inventory_id,item_type,product_area,route_or_component,screen_or_tab,role,tenant_state,store_state,subscription_or_entitlement_state,feature_flag_state,viewport,control_or_action,expected_behavior,backing_api_dal_data_path,test_type,test_result,defect_id,regression_test_added,final_verification_status,evidence_or_notes
MLRC-000001,page,Answerlattice boundary,/answerlattice/activation,src/app/(answerlattice)/answerlattice/activation/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/activation/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000002,page,Answerlattice boundary,/answerlattice/answer-tests,src/app/(answerlattice)/answerlattice/answer-tests/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/answer-tests/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000003,page,Answerlattice boundary,/answerlattice/billing,src/app/(answerlattice)/answerlattice/billing/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/billing/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000004,page,Answerlattice boundary,/answerlattice/changelog,src/app/(answerlattice)/answerlattice/changelog/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/changelog/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000005,page,Answerlattice boundary,/answerlattice/conversations,src/app/(answerlattice)/answerlattice/conversations/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/conversations/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000006,page,Answerlattice boundary,/answerlattice/dashboard,src/app/(answerlattice)/answerlattice/dashboard/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/dashboard/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000007,page,Answerlattice boundary,/answerlattice/docs,src/app/(answerlattice)/answerlattice/docs/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/docs/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000008,page,Answerlattice boundary,/answerlattice/faqs,src/app/(answerlattice)/answerlattice/faqs/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/faqs/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000009,page,Answerlattice boundary,/answerlattice/feedback,src/app/(answerlattice)/answerlattice/feedback/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/feedback/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000010,page,Answerlattice boundary,/answerlattice/governance/[tab],src/app/(answerlattice)/answerlattice/governance/[tab]/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/governance/[tab]/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000011,page,Answerlattice boundary,/answerlattice/governance,src/app/(answerlattice)/answerlattice/governance/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/governance/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000012,page,Answerlattice boundary,/answerlattice/help,src/app/(answerlattice)/answerlattice/help/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/help/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000013,page,Answerlattice boundary,/answerlattice/install-center,src/app/(answerlattice)/answerlattice/install-center/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/install-center/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000014,page,Answerlattice boundary,/answerlattice/kb-generation,src/app/(answerlattice)/answerlattice/kb-generation/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/kb-generation/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000015,page,Answerlattice boundary,/answerlattice/knowledge-base,src/app/(answerlattice)/answerlattice/knowledge-base/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/knowledge-base/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000016,page,Answerlattice boundary,/answerlattice/knowledge-intake,src/app/(answerlattice)/answerlattice/knowledge-intake/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/knowledge-intake/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000017,page,Answerlattice boundary,/answerlattice/known-issues,src/app/(answerlattice)/answerlattice/known-issues/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/known-issues/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000018,page,Answerlattice boundary,/answerlattice/launch-answers,src/app/(answerlattice)/answerlattice/launch-answers/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,NO_DIRECT_FLAG_GUARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/launch-answers/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
MLRC-000019,page,Answerlattice boundary,/answerlattice,src/app/(answerlattice)/answerlattice/page.tsx,SEPARATION_BOUNDARY_ONLY,PRODUCT_HOST_BOUNDARY,OUT_OF_SCOPE_EXCEPT_ISOLATION,OUT_OF_SCOPE_EXCEPT_ISOLATION,ENABLE_ANSWERLATTICE_ACTIVATION_COMMAND_CENTER|ENABLE_ANSWERLATTICE_FOUNDER_DAILY_BRIEF|ENABLE_ANSWERLATTICE_OWNER_SUPPORT_ASSISTANT|ENABLE_ANSWERLATTICE_SUPPORT_BOARD,RESPONSIVE_WHERE_RENDERED,render:page,"Resolve current source, host, authorization, lifecycle, and failure contract",src/app/(answerlattice)/answerlattice/page.tsx,browser-and-source,NOT_RUN,,NO,DISCOVERED_UNTESTED,Separation boundary only
